user_id,signup_date,country,age,gender,acquisition_channel,campaign_id,kyc_completed,kyc_date,first_transaction_date,total_transactions,total_amount,avg_transaction_value,is_converted,is_active_user,kyc_done_flag,transaction_done_flag,cohort_month
USR_1,2023-04-13,India,25,Male,Referral,CMP_4,1,2023-04-16,2023-05-23,10.0,44526.590000000004,4452.659000000001,1,1,1,1,2023-04
USR_2,2023-08-03,UK,57,Female,Google,CMP_8,1,2023-08-05,2023-09-13,5.0,29532.43,5906.486,1,1,1,1,2023-08
USR_3,2023-12-10,Canada,38,Male,Facebook,CMP_6,1,2023-12-11,2023-12-23,48.0,226313.42,4714.862916666667,1,1,1,1,2023-12
USR_4,2023-08-24,Canada,59,Female,Google,CMP_9,0,,,0.0,0.0,0.0,0,0,0,0,2023-08
USR_5,2023-09-28,UK,20,Male,Google,CMP_3,1,2023-09-29,,0.0,0.0,0.0,0,0,1,0,2023-09
USR_6,2023-06-16,USA,31,Female,Referral,CMP_2,1,2023-06-17,2023-06-17,20.0,121535.93000000001,6076.7965,1,1,1,1,2023-06
USR_7,2023-12-06,UK,25,Male,Instagram,CMP_7,0,,,0.0,0.0,0.0,0,0,0,0,2023-12
USR_8,2023-02-19,USA,23,Female,Organic,CMP_8,1,2023-02-20,2023-02-22,19.0,100440.86,5286.361052631579,1,1,1,1,2023-02
USR_9,2023-07-10,USA,51,Female,Organic,CMP_2,0,,,0.0,0.0,0.0,0,0,0,0,2023-07
USR_10,2023-12-17,Canada,57,Male,Instagram,CMP_8,1,2023-12-20,2024-01-06,19.0,73499.95,3868.4184210526314,1,1,1,1,2023-12
USR_11,2023-02-22,UK,58,Male,Google,CMP_8,1,2023-02-23,,0.0,0.0,0.0,0,0,1,0,2023-02
USR_12,2023-11-23,UK,25,Female,Organic,CMP_9,0,,,0.0,0.0,0.0,0,0,0,0,2023-11
USR_13,2023-03-22,India,50,Male,Organic,CMP_8,0,,,0.0,0.0,0.0,0,0,0,0,2023-03
USR_14,2023-02-10,India,29,Female,Organic,CMP_7,1,2023-02-13,2023-03-13,4.0,18512.41,4628.1025,1,0,1,1,2023-02
USR_15,2023-03-03,UK,57,Female,Instagram,CMP_8,1,2023-03-06,2023-03-09,9.0,43276.76,4808.528888888889,1,1,1,1,2023-03
USR_16,2023-04-11,UK,43,Male,Organic,CMP_3,1,2023-04-14,2023-04-15,17.0,81169.16,4774.656470588236,1,1,1,1,2023-04
USR_17,2023-07-26,UK,30,Male,Facebook,CMP_10,0,,,0.0,0.0,0.0,0,0,0,0,2023-07
USR_18,2023-08-29,India,21,Female,Instagram,CMP_4,1,2023-08-30,2023-09-15,20.0,89580.62,4479.031,1,1,1,1,2023-08
USR_19,2023-05-23,UK,24,Male,Referral,CMP_4,1,2023-05-25,2023-06-12,4.0,15859.17,3964.7925,1,0,1,1,2023-05
USR_20,2023-06-19,Canada,45,Female,Facebook,CMP_9,1,2023-06-21,2023-08-05,9.0,39486.18,4387.3533333333335,1,1,1,1,2023-06
USR_21,2023-11-27,USA,42,Male,Facebook,CMP_10,1,2023-11-28,,0.0,0.0,0.0,0,0,1,0,2023-11
USR_22,2023-10-10,UK,58,Male,Organic,CMP_9,1,2023-10-13,,0.0,0.0,0.0,0,0,1,0,2023-10
USR_23,2023-05-17,Canada,59,Female,Instagram,CMP_5,0,,,0.0,0.0,0.0,0,0,0,0,2023-05
USR_24,2023-06-09,UK,29,Female,Organic,CMP_8,1,2023-06-10,2023-07-08,10.0,31643.99,3164.3990000000003,1,1,1,1,2023-06
