user_id,signup_date,recency,frequency,monetary,segment
USR_1,2023-04-13,274.0,10.0,44526.590000000004,At Risk
USR_2,2023-08-03,186.0,5.0,29532.43,At Risk
USR_3,2023-12-10,21.0,48.0,226313.42,High Value
USR_4,2023-08-24,999.0,0.0,0.0,No Activity
USR_5,2023-09-28,999.0,0.0,0.0,No Activity
USR_6,2023-06-16,199.0,20.0,121535.93000000001,Loyal
USR_7,2023-12-06,999.0,0.0,0.0,No Activity
USR_8,2023-02-19,319.0,19.0,100440.86,Loyal
USR_9,2023-07-10,999.0,0.0,0.0,No Activity
USR_10,2023-12-17,16.0,19.0,73499.95,Loyal
USR_11,2023-02-22,999.0,0.0,0.0,No Activity
USR_12,2023-11-23,999.0,0.0,0.0,No Activity
USR_13,2023-03-22,999.0,0.0,0.0,No Activity
USR_14,2023-02-10,376.0,4.0,18512.41,At Risk
USR_15,2023-03-03,307.0,9.0,43276.76,At Risk
USR_16,2023-04-11,290.0,17.0,81169.16,Loyal
USR_17,2023-07-26,999.0,0.0,0.0,No Activity
USR_18,2023-08-29,125.0,20.0,89580.62,Loyal
USR_19,2023-05-23,230.0,4.0,15859.17,At Risk
USR_20,2023-06-19,199.0,9.0,39486.18,At Risk
USR_21,2023-11-27,999.0,0.0,0.0,No Activity
USR_22,2023-10-10,999.0,0.0,0.0,No Activity
USR_23,2023-05-17,999.0,0.0,0.0,No Activity
USR_24,2023-06-09,216.0,10.0,31643.99,At Risk
USR_25,2023-04-11,303.0,9.0,37738.79,At Risk
USR_26,2023-08-12,157.0,20.0,104685.02,Loyal
USR_27,2023-09-04,128.0,5.0,22788.1,At Risk
USR_28,2023-04-08,291.0,18.0,79266.51,Loyal
USR_29,2023-12-15,42.0,8.0,25631.8,Low Value
USR_30,2023-05-28,269.0,5.0,34677.84,At Risk
USR_31,2023-05-09,237.0,10.0,63347.159999999996,At Risk
USR_32,2023-09-09,999.0,0.0,0.0,No Activity
USR_33,2023-02-06,378.0,1.0,2793.18,At Risk
USR_34,2023-06-01,999.0,0.0,0.0,No Activity
USR_35,2023-04-14,264.0,19.0,93403.18000000001,Loyal
USR_36,2023-12-04,79.0,9.0,41307.81,At Risk
USR_37,2023-10-16,76.0,42.0,225507.44,High Value
USR_38,2023-06-25,999.0,0.0,0.0,No Activity
USR_39,2023-12-31,0.0,46.0,234210.11,High Value
USR_40,2023-10-11,83.0,47.0,281345.85,High Value
USR_41,2023-01-17,352.0,10.0,51364.67,At Risk
USR_42,2023-06-30,229.0,5.0,22863.15,At Risk
USR_43,2023-05-08,999.0,0.0,0.0,No Activity
USR_44,2023-06-23,999.0,0.0,0.0,No Activity
USR_45,2023-09-30,999.0,0.0,0.0,No Activity
USR_46,2023-12-21,10.0,17.0,90141.16,Loyal
USR_47,2023-06-22,999.0,0.0,0.0,No Activity
USR_48,2023-05-23,227.0,19.0,115792.76,Loyal
USR_49,2023-03-04,304.0,5.0,18793.53,At Risk
USR_50,2023-02-23,999.0,0.0,0.0,No Activity
USR_51,2023-12-16,45.0,3.0,15512.18,Low Value
USR_52,2023-05-27,228.0,8.0,43859.86,At Risk
USR_53,2023-04-27,251.0,10.0,46731.0,At Risk
USR_54,2023-08-27,192.0,5.0,15408.72,At Risk
USR_55,2023-07-08,999.0,0.0,0.0,No Activity
USR_56,2023-06-03,214.0,17.0,76732.26000000001,Loyal
USR_57,2023-04-04,999.0,0.0,0.0,No Activity
USR_58,2023-04-10,999.0,0.0,0.0,No Activity
USR_59,2023-04-10,294.0,3.0,7859.93,At Risk
USR_60,2023-11-21,43.0,9.0,46011.95,Low Value
USR_61,2023-06-09,220.0,5.0,23647.16,At Risk
USR_62,2023-04-11,270.0,16.0,97085.88,Loyal
USR_63,2023-01-12,426.0,8.0,40752.62,At Risk
USR_64,2023-03-31,999.0,0.0,0.0,No Activity
USR_65,2023-03-16,301.0,3.0,12773.1,At Risk
USR_66,2023-07-11,298.0,3.0,12855.57,At Risk
USR_67,2023-05-31,999.0,0.0,0.0,No Activity
USR_68,2023-09-30,999.0,0.0,0.0,No Activity
USR_69,2023-06-26,191.0,5.0,19966.55,At Risk
USR_70,2023-07-25,184.0,9.0,37341.16,At Risk
USR_71,2023-02-22,320.0,10.0,58164.82,At Risk
USR_72,2023-08-11,197.0,8.0,47244.57,At Risk
USR_73,2023-03-17,296.0,16.0,73883.77,Loyal
USR_74,2023-06-17,200.0,20.0,112149.04,Loyal
USR_75,2023-12-05,76.0,8.0,26891.46,At Risk
USR_76,2023-08-05,181.0,5.0,26487.06,At Risk
USR_77,2023-04-01,362.0,5.0,16978.6,At Risk
USR_78,2023-08-08,156.0,10.0,40022.05,At Risk
USR_79,2023-12-14,18.0,48.0,216957.5,High Value
USR_80,2023-02-27,358.0,5.0,18316.17,At Risk
USR_81,2023-05-27,254.0,5.0,27257.06,At Risk
USR_82,2023-02-23,319.0,10.0,47034.76,At Risk
USR_83,2023-09-29,102.0,18.0,106838.1,Loyal
USR_84,2023-06-13,999.0,0.0,0.0,No Activity
USR_85,2023-07-11,999.0,0.0,0.0,No Activity
USR_86,2023-08-08,148.0,18.0,75990.93000000001,Loyal
USR_87,2023-01-10,999.0,0.0,0.0,No Activity
USR_88,2023-05-26,999.0,0.0,0.0,No Activity
USR_89,2023-10-10,109.0,10.0,52914.3,At Risk
USR_90,2023-11-07,119.0,1.0,1433.54,At Risk
USR_91,2023-01-23,345.0,8.0,31465.69,At Risk
USR_92,2023-01-01,367.0,9.0,50870.28,At Risk
USR_93,2023-02-03,999.0,0.0,0.0,No Activity
USR_94,2023-11-02,69.0,17.0,113887.61,Loyal
USR_95,2023-04-22,999.0,0.0,0.0,No Activity
USR_96,2023-04-13,342.0,3.0,19601.16,At Risk
USR_97,2023-12-01,999.0,0.0,0.0,No Activity
USR_98,2023-01-30,363.0,18.0,72622.0,Loyal
USR_99,2023-11-26,38.0,10.0,50471.06,Low Value
USR_100,2023-07-24,171.0,4.0,28960.47,At Risk
USR_101,2023-01-08,387.0,5.0,39239.15,At Risk
USR_102,2023-06-09,233.0,5.0,16163.6,At Risk
USR_103,2023-11-13,72.0,10.0,40316.79,At Risk
USR_104,2023-02-03,371.0,9.0,32202.4,At Risk
USR_105,2023-08-02,999.0,0.0,0.0,No Activity
USR_106,2023-04-23,999.0,0.0,0.0,No Activity
USR_107,2023-01-14,360.0,5.0,23305.87,At Risk
USR_108,2023-07-06,181.0,45.0,219292.01,High Value
USR_109,2023-10-01,138.0,4.0,16769.61,At Risk
USR_110,2023-07-21,192.0,8.0,44401.01,At Risk
USR_111,2023-05-25,228.0,8.0,39531.810000000005,At Risk
USR_112,2023-08-16,148.0,18.0,97806.58,Loyal
USR_113,2023-04-11,315.0,4.0,15185.26,At Risk
USR_114,2023-08-17,137.0,45.0,184534.18,High Value
USR_115,2023-01-04,362.0,10.0,44663.07,At Risk
USR_116,2023-08-11,167.0,8.0,36579.85,At Risk
USR_117,2023-04-04,288.0,10.0,64356.71,At Risk
USR_118,2023-06-22,221.0,9.0,50283.06,At Risk
USR_119,2023-05-20,281.0,5.0,22312.74,At Risk
USR_120,2023-11-29,51.0,4.0,25752.15,Low Value
USR_121,2023-01-13,402.0,5.0,16522.0,At Risk
USR_122,2023-02-07,999.0,0.0,0.0,No Activity
USR_123,2023-08-24,139.0,9.0,46349.12,At Risk
USR_124,2023-01-01,364.0,9.0,47097.04,At Risk
USR_125,2023-11-12,54.0,5.0,26128.81,Low Value
USR_126,2023-05-12,244.0,5.0,24709.2,At Risk
USR_127,2023-01-14,999.0,0.0,0.0,No Activity
USR_128,2023-05-25,999.0,0.0,0.0,No Activity
USR_129,2023-02-08,353.0,9.0,28490.76,At Risk
USR_130,2023-01-15,999.0,0.0,0.0,No Activity
USR_131,2023-04-07,269.0,8.0,31871.4,At Risk
USR_132,2023-01-05,398.0,5.0,29943.19,At Risk
USR_133,2023-08-04,150.0,46.0,230242.46,High Value
USR_134,2023-11-28,42.0,20.0,111456.12,Loyal
USR_135,2023-05-28,262.0,3.0,27691.43,At Risk
USR_136,2023-12-29,4.0,19.0,87956.84,Loyal
USR_137,2023-06-20,202.0,10.0,46949.020000000004,At Risk
USR_138,2023-04-02,999.0,0.0,0.0,No Activity
USR_139,2023-09-24,188.0,1.0,7681.51,At Risk
USR_140,2023-07-01,261.0,5.0,24410.04,At Risk
USR_141,2023-05-17,228.0,17.0,80818.82,Loyal
USR_142,2023-03-31,999.0,0.0,0.0,No Activity
USR_143,2023-05-08,238.0,17.0,104583.83,Loyal
USR_144,2023-06-10,237.0,5.0,27038.010000000002,At Risk
USR_145,2023-12-03,29.0,19.0,89161.18,Loyal
USR_146,2023-12-26,10.0,47.0,199654.73,High Value
USR_147,2023-07-30,170.0,5.0,29833.85,At Risk
USR_148,2023-03-19,292.0,9.0,51829.46,At Risk
USR_149,2023-06-15,254.0,9.0,37030.28,At Risk
USR_150,2023-10-15,192.0,4.0,12627.96,At Risk
USR_151,2023-10-15,132.0,4.0,11291.220000000001,At Risk
USR_152,2023-09-12,117.0,48.0,240720.31,High Value
USR_153,2023-09-21,999.0,0.0,0.0,No Activity
USR_154,2023-06-14,201.0,45.0,212912.24,High Value
USR_155,2023-09-20,999.0,0.0,0.0,No Activity
USR_156,2023-10-12,81.0,9.0,34889.35,At Risk
USR_157,2023-07-14,171.0,18.0,100133.55,Loyal
USR_158,2023-08-14,171.0,9.0,46767.23,At Risk
USR_159,2023-04-30,999.0,0.0,0.0,No Activity
USR_160,2023-02-09,325.0,20.0,114075.06,Loyal
USR_161,2023-01-04,361.0,44.0,231059.61,High Value
USR_162,2023-05-08,247.0,15.0,76277.63,Loyal
USR_163,2023-03-17,999.0,0.0,0.0,No Activity
USR_164,2023-05-14,999.0,0.0,0.0,No Activity
USR_165,2023-07-09,190.0,5.0,10756.23,At Risk
USR_166,2023-06-30,186.0,9.0,34602.15,At Risk
USR_167,2023-06-13,224.0,9.0,36582.82,At Risk
USR_168,2023-06-01,213.0,44.0,216839.56,High Value
USR_169,2023-08-15,150.0,5.0,29749.95,At Risk
USR_170,2023-07-20,191.0,5.0,23982.88,At Risk
USR_171,2023-02-08,999.0,0.0,0.0,No Activity
USR_172,2023-04-12,999.0,0.0,0.0,No Activity
USR_173,2023-01-17,999.0,0.0,0.0,No Activity
USR_174,2023-09-21,999.0,0.0,0.0,No Activity
USR_175,2023-01-25,341.0,41.0,221225.2,High Value
USR_176,2023-02-16,322.0,9.0,39558.03,At Risk
USR_177,2023-09-27,182.0,1.0,3451.27,At Risk
USR_178,2023-03-23,283.0,44.0,213390.2,High Value
USR_179,2023-06-08,248.0,8.0,39667.26,At Risk
USR_180,2023-07-02,209.0,5.0,38659.3,At Risk
USR_181,2023-07-29,187.0,3.0,4107.96,At Risk
USR_182,2023-06-19,999.0,0.0,0.0,No Activity
USR_183,2023-08-15,161.0,9.0,35704.85,At Risk
USR_184,2023-08-24,210.0,5.0,23593.07,At Risk
USR_185,2023-03-06,999.0,0.0,0.0,No Activity
USR_186,2023-05-26,220.0,5.0,22721.56,At Risk
USR_187,2023-11-01,121.0,8.0,50383.17,At Risk
USR_188,2023-07-17,175.0,4.0,32893.19,At Risk
USR_189,2023-07-18,193.0,9.0,45959.59,At Risk
