transaction_id,user_id,transaction_date,amount,transaction_type,status
TXN_1,USR_1,2023-07-04,5432.95,withdrawal,success
TXN_2,USR_1,2023-09-19,1535.62,withdrawal,success
TXN_3,USR_1,2023-06-24,8325.37,withdrawal,success
TXN_4,USR_1,2023-08-16,1092.02,payment,success
TXN_5,USR_1,2023-06-08,8055.74,payment,success
TXN_6,USR_1,2023-05-23,2331.45,deposit,success
TXN_7,USR_1,2023-07-28,142.92,withdrawal,success
TXN_8,USR_1,2023-09-27,7402.38,withdrawal,success
TXN_9,USR_1,2023-09-16,738.28,deposit,success
TXN_10,USR_1,2023-09-09,9469.86,payment,success
TXN_11,USR_2,2023-10-07,6722.43,deposit,success
TXN_12,USR_2,2023-09-13,1358.48,deposit,success
TXN_13,USR_2,2023-12-24,6978.41,withdrawal,success
TXN_14,USR_2,2023-10-19,8019.43,deposit,success
TXN_15,USR_2,2023-11-23,6453.68,withdrawal,success
TXN_16,USR_3,2024-05-23,3008.57,deposit,failed
TXN_17,USR_3,2023-12-24,2417.34,payment,success
TXN_18,USR_3,2024-05-03,2121.57,payment,success
TXN_19,USR_3,2024-05-26,2892.46,payment,success
TXN_20,USR_3,2024-02-24,6955.07,deposit,success
TXN_21,USR_3,2024-02-16,6028.95,withdrawal,success
TXN_22,USR_3,2023-12-28,712.61,deposit,success
TXN_23,USR_3,2024-05-21,2301.58,deposit,failed
TXN_24,USR_3,2024-05-29,7799.25,payment,success
TXN_25,USR_3,2024-01-03,9437.31,payment,success
TXN_26,USR_3,2024-05-15,7213.39,withdrawal,success
TXN_27,USR_3,2024-04-06,409.34,withdrawal,success
TXN_28,USR_3,2024-01-10,832.28,withdrawal,success
TXN_29,USR_3,2024-03-21,7876.57,payment,success
TXN_30,USR_3,2024-04-25,3834.02,payment,success
TXN_31,USR_3,2024-02-08,118.84,withdrawal,success
TXN_32,USR_3,2024-02-20,3210.04,withdrawal,success
TXN_33,USR_3,2024-02-11,9152.41,withdrawal,success
TXN_34,USR_3,2024-04-02,9740.26,withdrawal,success
TXN_35,USR_3,2024-01-27,4614.77,withdrawal,success
TXN_36,USR_3,2024-04-05,2982.66,withdrawal,success
TXN_37,USR_3,2024-05-09,3698.94,withdrawal,success
TXN_38,USR_3,2024-05-07,2049.23,payment,success
TXN_39,USR_3,2023-12-23,482.96,withdrawal,success
TXN_40,USR_3,2024-04-21,2643.56,withdrawal,success
TXN_41,USR_3,2024-04-26,8519.52,withdrawal,success
TXN_42,USR_3,2024-03-13,5066.72,deposit,success
TXN_43,USR_3,2024-05-09,9971.69,deposit,success
TXN_44,USR_3,2024-01-21,2460.34,payment,success
TXN_45,USR_3,2024-04-20,3532.22,deposit,success
TXN_46,USR_3,2024-04-16,5832.86,payment,success
TXN_47,USR_3,2024-01-21,2045.07,deposit,success
TXN_48,USR_3,2024-06-06,401.24,withdrawal,success
TXN_49,USR_3,2024-01-24,4744.35,withdrawal,success
TXN_50,USR_3,2023-12-23,8994.39,deposit,success
TXN_51,USR_3,2023-12-24,2216.44,deposit,success
TXN_52,USR_3,2024-05-03,8556.45,deposit,success
TXN_53,USR_3,2024-04-14,4702.24,deposit,success
TXN_54,USR_3,2024-04-20,798.17,withdrawal,success
TXN_55,USR_3,2024-02-21,9019.26,withdrawal,success
TXN_56,USR_3,2024-01-06,3232.51,payment,success
TXN_57,USR_3,2024-01-20,6154.51,withdrawal,success
TXN_58,USR_3,2024-04-17,718.16,deposit,success
TXN_59,USR_3,2024-03-15,9820.11,withdrawal,success
TXN_60,USR_3,2024-03-25,6795.18,deposit,success
TXN_61,USR_3,2024-03-19,4117.89,deposit,success
TXN_62,USR_3,2024-03-05,9473.77,withdrawal,success
TXN_63,USR_3,2024-01-25,4072.44,payment,success
TXN_64,USR_3,2023-12-23,5378.29,withdrawal,success
TXN_65,USR_3,2024-02-10,2465.77,payment,success
TXN_66,USR_6,2023-12-11,7130.56,withdrawal,success
TXN_67,USR_6,2023-10-16,9087.3,payment,success
TXN_68,USR_6,2023-12-06,1647.87,withdrawal,success
TXN_69,USR_6,2023-08-09,9789.3,deposit,success
TXN_70,USR_6,2023-09-27,5669.94,payment,success
TXN_71,USR_6,2023-06-28,4886.09,payment,success
TXN_72,USR_6,2023-08-26,6877.89,withdrawal,success
TXN_73,USR_6,2023-07-02,8587.04,deposit,success
TXN_74,USR_6,2023-10-27,4829.43,payment,success
TXN_75,USR_6,2023-10-30,5782.45,deposit,success
TXN_76,USR_6,2023-10-17,5034.93,deposit,success
TXN_77,USR_6,2023-06-21,3733.88,payment,success
TXN_78,USR_6,2023-07-15,9267.0,withdrawal,success
TXN_79,USR_6,2023-06-17,8133.47,payment,success
TXN_80,USR_6,2023-06-22,8191.48,payment,success
