user_id,signup_date,country,age,gender,acquisition_channel,campaign_id,kyc_completed,kyc_date
USR_1,13-04-2023,India,25,Male,Referral,CMP_4,1,16-04-2023
USR_2,03-08-2023,UK,57,Female,Google,CMP_8,1,05-08-2023
USR_3,10-12-2023,Canada,38,Male,Facebook,CMP_6,1,11-12-2023
USR_4,24-08-2023,Canada,59,Female,Google,CMP_9,0,
USR_5,28-09-2023,UK,20,Male,Google,CMP_3,1,29-09-2023
USR_6,16-06-2023,USA,31,Female,Referral,CMP_2,1,17-06-2023
USR_7,06-12-2023,UK,25,Male,Instagram,CMP_7,0,
USR_8,19-02-2023,USA,23,Female,Organic,CMP_8,1,20-02-2023
USR_9,10-07-2023,USA,51,Female,Organic,CMP_2,0,
USR_10,17-12-2023,Canada,57,Male,Instagram,CMP_8,1,20-12-2023
USR_11,22-02-2023,UK,58,Male,Google,CMP_8,1,23-02-2023
USR_12,23-11-2023,UK,25,Female,Organic,CMP_9,0,
USR_13,22-03-2023,India,50,Male,Organic,CMP_8,0,
USR_14,10-02-2023,India,29,Female,Organic,CMP_7,1,13-02-2023
USR_15,03-03-2023,UK,57,Female,Instagram,CMP_8,1,06-03-2023
USR_16,11-04-2023,UK,43,Male,Organic,CMP_3,1,14-04-2023
USR_17,26-07-2023,UK,30,Male,Facebook,CMP_10,0,
USR_18,29-08-2023,India,21,Female,Instagram,CMP_4,1,30-08-2023
USR_19,23-05-2023,UK,24,Male,Referral,CMP_4,1,25-05-2023
USR_20,19-06-2023,Canada,45,Female,Facebook,CMP_9,1,21-06-2023
USR_21,27-11-2023,USA,42,Male,Facebook,CMP_10,1,28-11-2023
USR_22,10-10-2023,UK,58,Male,Organic,CMP_9,1,13-10-2023
USR_23,17-05-2023,Canada,59,Female,Instagram,CMP_5,0,
USR_24,09-06-2023,UK,29,Female,Organic,CMP_8,1,10-06-2023
USR_25,11-04-2023,Canada,19,Female,Referral,CMP_1,1,12-04-2023
USR_26,12-08-2023,Canada,19,Male,Instagram,CMP_1,1,14-08-2023
USR_27,04-09-2023,USA,34,Male,Facebook,CMP_4,1,08-09-2023
USR_28,08-04-2023,India,33,Male,Google,CMP_6,1,10-04-2023
USR_29,15-12-2023,USA,53,Male,Instagram,CMP_3,1,18-12-2023
USR_30,28-05-2023,Canada,50,Female,Facebook,CMP_7,1,01-06-2023
USR_31,09-05-2023,USA,40,Male,Facebook,CMP_9,1,12-05-2023
USR_32,09-09-2023,Canada,19,Male,Referral,CMP_10,0,
USR_33,06-02-2023,Canada,52,Male,Google,CMP_7,0,
USR_34,01-06-2023,UK,41,Female,Organic,CMP_6,0,
USR_35,14-04-2023,India,42,Male,Instagram,CMP_4,1,18-04-2023
USR_36,04-12-2023,India,33,Male,Instagram,CMP_2,1,08-12-2023
USR_37,16-10-2023,UK,25,Male,Facebook,CMP_5,1,17-10-2023
USR_38,25-06-2023,USA,39,Female,Instagram,CMP_3,0,
USR_39,31-12-2023,USA,44,Male,Organic,CMP_3,1,01-01-2024
USR_40,11-10-2023,UK,36,Female,Facebook,CMP_1,1,15-10-2023
USR_41,17-01-2023,Canada,58,Male,Organic,CMP_5,1,19-01-2023
USR_42,30-06-2023,UK,38,Female,Referral,CMP_3,1,03-07-2023
USR_43,08-05-2023,USA,48,Female,Instagram,CMP_2,0,
USR_44,23-06-2023,USA,39,Male,Facebook,CMP_8,1,25-06-2023
USR_45,30-09-2023,USA,56,Male,Instagram,CMP_8,0,
USR_46,21-12-2023,USA,30,Female,Organic,CMP_2,1,25-12-2023
USR_47,22-06-2023,Canada,33,Female,Instagram,CMP_4,0,
USR_48,23-05-2023,USA,40,Male,Facebook,CMP_2,1,25-05-2023
USR_49,04-03-2023,Canada,39,Male,Instagram,CMP_6,1,07-03-2023
USR_50,23-02-2023,Canada,22,Male,Instagram,CMP_5,0,
USR_51,16-12-2023,USA,33,Male,Instagram,CMP_3,1,18-12-2023
USR_52,27-05-2023,USA,36,Female,Google,CMP_1,1,28-05-2023
USR_53,27-04-2023,India,29,Male,Google,CMP_7,1,28-04-2023
USR_54,27-08-2023,India,42,Female,Facebook,CMP_2,1,31-08-2023
USR_55,08-07-2023,India,22,Female,Instagram,CMP_7,1,12-07-2023
USR_56,03-06-2023,Canada,46,Female,Organic,CMP_3,1,04-06-2023
USR_57,04-04-2023,USA,33,Female,Facebook,CMP_4,1,07-04-2023
USR_58,10-04-2023,USA,54,Male,Google,CMP_1,1,11-04-2023
USR_59,10-04-2023,UK,27,Female,Google,CMP_2,1,11-04-2023
USR_60,21-11-2023,USA,33,Male,Instagram,CMP_4,1,25-11-2023
USR_61,09-06-2023,India,52,Female,Instagram,CMP_4,1,12-06-2023
USR_62,11-04-2023,UK,57,Female,Organic,CMP_3,1,12-04-2023
USR_63,12-01-2023,India,52,Male,Facebook,CMP_2,1,13-01-2023
USR_64,31-03-2023,USA,24,Female,Google,CMP_2,1,01-04-2023
USR_65,16-03-2023,India,38,Male,Organic,CMP_8,1,17-03-2023
USR_66,11-07-2023,India,53,Female,Referral,CMP_3,1,15-07-2023
USR_67,31-05-2023,India,30,Male,Facebook,CMP_5,1,02-06-2023
USR_68,30-09-2023,India,42,Female,Instagram,CMP_1,0,
